prize,subregion,sent,received,ratio,boot_lo,boot_hi,cross_sent,cross_received,p_dir_cross,total_volume,low_volume,ci_excludes_1
Literature,Northern Europe,1549,925,0.5971594577146546,0.5409555792451414,0.6569546884940712,696,72,4.205494109957066e-129,2474,FALSE,TRUE
Literature,South-Eastern Asia,10,4,0.4,0,0.75,6,0,0.031249999999999997,14,TRUE,TRUE
Peace,South America,129,249,1.930232558139535,1.5384615384615385,2.459027470093044,57,177,1.6935305825773214e-15,378,FALSE,TRUE
Peace,Northern America,822,1124,1.367396593673966,1.2589177321086928,1.4929098801339677,205,507,2.120861247484765e-30,1946,FALSE,TRUE
Peace,Sub-Saharan Africa,34,44,1.2941176470588236,0.8541666666666666,2.095357142857141,19,29,0.19341265286193757,78,TRUE,FALSE
Peace,Western Europe,1994,2391,1.1990972918756269,1.1091138455674043,1.3079491520047308,546,943,5.496306064028888e-25,4385,FALSE,TRUE
Peace,Southern Asia,90,107,1.1888888888888889,0.9514563106796117,1.5064935064935066,32,49,0.07478815428283363,197,FALSE,FALSE
Peace,Eastern Europe,206,216,1.0485436893203883,0.7720949155524279,1.4207397304236198,144,154,0.6021932385765322,422,FALSE,FALSE
Peace,South-Eastern Asia,18,17,0.9444444444444444,0.5,1.8464285714285675,14,13,1,35,TRUE,FALSE
Peace,Caribbean,44,38,0.8636363636363636,0.545414673046252,1.3043478260869565,22,16,0.417692190836533,82,TRUE,FALSE
Peace,Southern Europe,413,346,0.837772397094431,0.7136541739534678,0.9768674467393552,223,156,6.785544911383516e-4,759,FALSE,TRUE
Peace,Central America,43,29,0.6744186046511628,0.39215686274509803,1.1,31,17,0.0594633752537703,72,TRUE,FALSE
Peace,Northern Europe,1704,1039,0.6097417840375586,0.5552084036137179,0.66965376213381,983,318,2.9065924344370106e-79,2743,FALSE,TRUE
Peace,Northern Africa,4,2,0.5,0,3,4,2,0.6874999999999999,6,TRUE,FALSE
Peace,Eastern Asia,70,28,0.4,0.2619047619047619,0.5789473684210527,52,10,5.7136137330930866e-8,98,TRUE,TRUE
Peace,Australia and New Zealand,41,16,0.3902439024390244,0.15384615384615385,0.5714285714285714,26,1,4.1723251342773607e-7,57,TRUE,TRUE
Peace,Western Asia,46,12,0.2608695652173913,0.05660377358490566,0.6222404371584697,42,8,1.1635558045952657e-6,58,TRUE,TRUE
Physics,Northern America,1313,2161,1.6458492003046459,1.4779229678243337,1.8526280958488341,304,1152,3.3142598108266326e-116,3474,FALSE,TRUE
Physics,Southern Asia,38,36,0.9473684210526315,0.5454545454545454,1.7058823529411764,21,19,0.8746293123804204,74,TRUE,FALSE
Physics,Northern Europe,1202,1062,0.8835274542429284,0.7728985411568638,1.0163639341008337,631,491,3.256532789876362e-5,2264,FALSE,FALSE
Physics,Eastern Europe,332,286,0.8614457831325302,0.6711572422372682,1.1277571457842435,195,149,0.015135268076700936,618,FALSE,FALSE
Physics,Western Europe,2221,1700,0.765420981539847,0.7067023083258624,0.833891304347826,967,446,1.6272787650918314e-44,3921,FALSE,TRUE
Physics,Southern Europe,237,166,0.70042194092827,0.5287769784172662,0.9589110986860496,178,107,3.092905234919503e-5,403,FALSE,TRUE
Physics,Eastern Asia,68,44,0.6470588235294118,0.40860215053763443,1.0566037735849056,54,30,0.011634454119925815,112,FALSE,FALSE
Physics,Australia and New Zealand,25,14,0.56,0.2727272727272727,1.2222222222222223,21,10,0.07075554598122832,39,TRUE,FALSE
Physics,Western Asia,25,12,0.48,0.2,1.4444444444444444,23,10,0.03508203336969025,37,TRUE,FALSE
Physics,South America,9,4,0.4444444444444444,0.06666666666666667,3.5,8,3,0.22656249999999992,13,TRUE,FALSE
Physics,Northern Africa,11,0,0,0,0,11,0,9.765625e-4,11,TRUE,TRUE
Physics,Sub-Saharan Africa,4,0,0,0,0,4,0,0.125,4,TRUE,TRUE
Physiology/Medicine,Caribbean,1,15,15,1,35,1,15,5.187988281250004e-4,16,TRUE,FALSE
Physiology/Medicine,Central America,3,7,2.3333333333333335,0.6,10,2,6,0.2890625000000001,10,TRUE,FALSE
Physiology/Medicine,South-Eastern Asia,5,10,2,0.9088636363636365,7,2,7,0.17968750000000006,15,TRUE,FALSE
Physiology/Medicine,Northern America,1071,1531,1.4295051353874884,1.3213372420440455,1.5527403911166588,199,659,3.1336164696790536e-58,2602,FALSE,TRUE
Physiology/Medicine,Southern Asia,20,25,1.25,0.7619047619047619,2.1052631578947367,7,12,0.35928344726562517,45,TRUE,FALSE
Physiology/Medicine,Northern Europe,796,880,1.1055276381909547,0.9790681613773609,1.2572318352960026,363,447,0.003516264299885789,1676,FALSE,FALSE
Physiology/Medicine,Western Europe,2838,2770,0.9760394644115574,0.9349987024221454,1.0185468072408992,702,634,0.0667567151131007,5608,FALSE,FALSE
Physiology/Medicine,Eastern Asia,120,109,0.9083333333333333,0.7950819672131147,1.030612244897959,23,12,0.08953107893466968,229,FALSE,FALSE
Physiology/Medicine,Australia and New Zealand,21,16,0.7619047619047619,0.41935483870967744,1.4375,15,10,0.4243562221527103,37,TRUE,FALSE
Physiology/Medicine,Northern Africa,52,37,0.7115384615384616,0.43420431976166834,1.1764705882352942,40,25,0.08168153394154033,89,TRUE,FALSE
Physiology/Medicine,Southern Europe,537,375,0.6983240223463687,0.6143338753581236,0.7941176470588235,247,85,1.822123915067533e-19,912,FALSE,TRUE
Physiology/Medicine,South America,98,64,0.6530612244897959,0.46078431372549017,0.9166666666666666,61,27,3.7402201494492177e-4,162,FALSE,TRUE
Physiology/Medicine,Eastern Europe,599,384,0.6410684474123539,0.5676914191419142,0.7199283346002207,304,89,1.36011503089879e-28,983,FALSE,TRUE
Physiology/Medicine,Sub-Saharan Africa,15,6,0.4,0,0.7142857142857143,9,0,0.0039062500000000035,21,TRUE,TRUE
Physiology/Medicine,Western Asia,71,18,0.2535211267605634,0.13114754098360656,0.4528301886792453,68,15,3.1961254620309636e-9,89,TRUE,TRUE
