from,p_from,to,p_to,expected,obs,o_minus_e,perm_lo,perm_hi,outside_null
Western Asia,0.007932208636433988,Eastern Europe,0.05540937935304133,11.358922767373471,3,-8.358922767373471,-3.358922767373471,9.641077232626529,TRUE
Sub-Saharan Africa,0.002553784243925089,Western Europe,0.3837254295000774,25.32587834700511,17,-8.325878347005109,-12.325878347005109,1.6741216529948915,FALSE
Western Europe,0.39030335861321774,Central America,0.001779910230614456,17.953954496208016,10,-7.953954496208016,-8.953954496208016,2.0460455037919836,FALSE
Northern America,0.17563070732084818,Northern Africa,0.0021668472372697724,9.835319609967497,2,-7.835319609967497,-5.835319609967497,5.164680390032503,TRUE
Northern America,0.17563070732084818,Sub-Saharan Africa,0.002321622039931899,10.53784243925089,3,-7.537842439250889,-1.5378424392508894,10.46215756074911,TRUE
Western Europe,0.39030335861321774,South-Eastern Asia,0.001238198421297013,12.48970747562297,5,-7.48970747562297,-6.48970747562297,3.5102925243770304,TRUE
Western Asia,0.007932208636433988,Southern Europe,0.05985915492957746,12.27112676056338,5,-7.27112676056338,-6.27112676056338,5.72887323943662,TRUE
Australia and New Zealand,0.006461848011143786,Eastern Europe,0.05540937935304133,9.2533663519579,2,-7.253366351957901,-4.253366351957901,7.746633648042099,TRUE
Northern America,0.17563070732084818,Caribbean,0.002437703141928494,11.064734561213434,4,-7.0647345612134345,-7.0647345612134345,1.9352654387865655,FALSE
Sub-Saharan Africa,0.002553784243925089,Northern America,0.2571970283237889,16.975003869370067,10,-6.975003869370067,-3.9750038693700667,10.024996130629933,TRUE
Central America,0.002012072434607646,Northern Europe,0.18851570964247022,9.802816901408454,3,-6.802816901408454,-6.802816901408454,3.1971830985915464,FALSE
Southern Europe,0.06546974152607955,Australia and New Zealand,0.00398545116854976,6.743383377186194,0,-6.743383377186194,-3.743383377186194,5.256616622813806,TRUE
Southern Europe,0.06546974152607955,South America,0.01984986844141774,33.58597740287881,27,-6.585977402878811,-8.585977402878811,12.414022597121189,FALSE
Southern Asia,0.008086983439096114,Eastern Europe,0.05540937935304133,11.580560284785635,5,-6.580560284785635,-6.580560284785635,6.419439715214365,FALSE
Northern Europe,0.24651756694010216,Sub-Saharan Africa,0.002321622039931899,14.791054016406129,21,6.208945983593871,-4.791054016406129,7.208945983593871,FALSE
South-Eastern Asia,0.001315585822628076,Western Europe,0.3837254295000774,13.04666460300263,7,-6.046664603002631,-7.046664603002631,2.9533353969973692,FALSE
Central America,0.002012072434607646,Caribbean,0.002437703141928494,0.12676056338028172,6,5.873239436619718,-0.12676056338028172,2.8732394366197185,TRUE
Caribbean,0.0023603157405974306,Northern America,0.2571970283237889,15.68901872775112,10,-5.689018727751121,-11.68901872775112,-2.6890187277511206,FALSE
