person_id,name,gender,birth_year,death_year,qid,match_method,multi_match_count
5504,Kaj Ulrik Linderstrøm-Lang,M,1896,1959,Q6348816,wikidata_name_birthyear,1
5529,Fritz Albert Lipmann,M,1899,1986,Q77104,wikidata_name_birthyear,1
8188,Hermann Irving Schlesinger,M,1882,1960,Q481291,wikidata_name_birthyear,1
9933,Selman Waksman,M,1888,1973,Q232308,wikidata_name_birthyear,1
6504,Robert Sanderson Mulliken,M,1896,1986,Q233355,wikidata_name_birthyear,1
5945,Archer John Porter Martin,M,1910,2002,Q48977,wikidata_name_birthyear,1
8946,Richard L Synge,M,1914,1994,Q48979,wikidata_name_birthyear,1
1925,Raphael Consden,M,1911,1980,NA,unmatched,0
3554,Arthur Gordon,M,1916,NA,NA,unmatched,0
9339,Thérèse Tréfouël,F,1894,NA,NA,unmatched,0
1495,Gladwyn Buttle,M,1899,NA,NA,unmatched,0
9928,Arthur Wahl,M,1917,NA,Q472997,wikidata_name_birthyear,1
3826,John Hamaker,M,1917,NA,NA,unmatched,0
8488,Glenn Sheline,M,1918,NA,NA,unmatched,0
2049,Burris Bell Cunningham,M,1912,1971,Q18018905,wikidata_name_birthyear,1
10090,Louis Werner,M,1919,NA,NA,unmatched,0
5263,Wendell Latimer,M,1893,NA,Q7982457,wikidata_name_birthyear,1
7123,Isadore Perlman,M,1915,NA,Q11205530,wikidata_name_birthyear,1
4860,Paul Kirk,M,1902,NA,Q7151885,wikidata_name_birthyear,1
518,Yasuhiko Asahina,M,1880,1975,NA,unmatched,0
4006,Ian Morris Heilbron,M,1886,1959,Q49353,wikidata_name_birthyear,1
5505,Axel Lindh,M,1888,1960,Q5956355,wikidata_name_birthyear,1
7160,Rudolph Peters,M,1889,1982,Q7377447,wikidata_name_birthyear,1
10487,Alexander Braunstein,M,1902,1986,NA,unmatched,0
2016,Lyman Craig,M,1906,1974,Q1878712,wikidata_name_birthyear,1
10492,Claude Hudson,M,1881,1952,Q5128895,wikidata_name_birthyear,1
6550,Erich Müller,M,NA,NA,NA,no_data,0
7110,Marguerite Perey,F,1909,1975,Q241822,wikidata_name_birthyear,1
8092,Frederick Sanger,M,1918,2013,Q151564,wikidata_name_birthyear,1
4159,Walter Hieber,M,1895,1976,Q78170,wikidata_name_birthyear,1
4976,Izaak Kolthoff,M,1894,1993,Q1845271,wikidata_name_birthyear,1
13462,Öjvind Winge,M,1886,1964,Q1451734,wikidata_name_birthyear,1
10610,Karl Ziegler,M,1898,1973,Q76624,wikidata_name_birthyear,1
9015,Edward Lawrie Tatum,M,1909,1975,Q237499,wikidata_name_birthyear,1
10646,Fritz Feigl,M,1891,1971,Q214308,wikidata_name_birthyear,1
2990,Louis Fieser,M,1899,1977,Q384156,wikidata_name_birthyear,1
10651,Giulio Natta,M,1903,1979,Q234145,wikidata_name_birthyear,1
10654,George Porter,M,1920,2002,Q106762,wikidata_name_birthyear,1
10660,Félix Trombe,M,1906,1985,Q899754,wikidata_name_birthyear,1
10665,Max Volmer,M,1885,1965,Q65226,wikidata_name_birthyear,1
10671,Martin David Kamen,M,1913,2002,Q1356613,wikidata_name_birthyear,1
3212,Karl Johann Freudenberg,M,1886,1983,Q95361,wikidata_name_birthyear,1
6817,Severo Ochoa,M,1905,1993,Q233957,wikidata_name_birthyear,1
10739,Alexander Arbuzov,M,1877,1968,NA,unmatched,0
10740,Boris Arbuzov,M,1903,1991,Q3642600,wikidata_name_birthyear,1
10742,Heinz Fraenckel-Conrat,M,1910,1999,Q106360,wikidata_name_birthyear,1
10743,Ernest Gale,M,1914,2005,Q5393100,wikidata_name_birthyear,1
10744,Joan Folkes,F,1927,NA,Q111947862,wikidata_name_birthyear,1
10745,Friedrich Emil Brauns,M,1890,NA,NA,unmatched,0
11118,Jannik Bjerrum,M,1909,1992,Q5577180,wikidata_name_birthyear,1
10800,Paul Charpentier,M,NA,NA,NA,no_data,0
1974,Charles Coryell,M,1912,1971,Q260328,wikidata_name_birthyear,1
10802,Maurice-Marie Janot,NA,1903,1978,Q3300287,wikidata_name_birthyear,1
10818,Alexandre Vladimiravitche Palladine,M,1885,1972,NA,unmatched,0
7725,Eric Keightley Rideal,M,1890,1974,Q5387365,wikidata_name_birthyear,1
10826,G Stadnikov,NA,NA,NA,NA,no_data,0
574,Oswald Theodore Avery,M,1877,1955,Q315129,wikidata_name_birthyear,1
10839,Colin Munro MacLeod,M,1909,1972,Q1108553,wikidata_name_birthyear,1
10840,Maclyn McCarty,M,1911,2005,Q902110,wikidata_name_birthyear,1
10841,Bernard Horecker,M,1914,2010,Q122982399,wikidata_name_birthyear,1
10878,Jean Brachet,NA,1909,1988,Q901569,wikidata_name_birthyear,1
11155,Gerhard Herzberg,M,1904,1999,Q76602,wikidata_name_birthyear,1
4702,Bogdan Kamienski,M,1897,1973,Q9175188,wikidata_name_birthyear,1
10889,Luis Federico Leloir,M,1906,1987,Q233985,wikidata_name_birthyear,1
10807,Max Mousseron,M,1902,1988,Q88671169,wikidata_name_birthyear,1
7400,Vladimir Prelog,M,1906,1998,Q83501,wikidata_name_birthyear,1
10904,Gerold Karl Schwarzenbach,M,1904,1978,Q327157,wikidata_name_birthyear,1
10907,Yoshiyuki Toyama,NA,NA,NA,NA,no_data,0
10657,Georg Wittig,M,1897,1987,Q77171,wikidata_name_birthyear,1
10979,Arthur Kornberg,M,1918,2007,Q295678,wikidata_name_birthyear,1
10983,William Pfann,M,1917,1982,Q8009672,wikidata_name_birthyear,1
10985,Francis Owen Rice,M,1890,1989,Q24567414,wikidata_name_birthyear,1
10656,Gunter Scheibe,M,1893,1980,Q18020624,wikidata_name_birthyear,1
13217,Charles Wagner,M,NA,NA,NA,no_data,0
10992,Frederick Rossini,M,1899,1990,Q3752755,wikidata_name_birthyear,1
10993,M Chedin,M,NA,NA,NA,no_data,0
10732,Egon Wiberg,M,1901,1976,Q1298972,wikidata_name_birthyear,1
4271,Bror Holmberg,M,1881,1966,Q5810786,wikidata_name_birthyear,1
11000,David Green,M,1910,1983,NA,unmatched,0
5722,Feodor Lynen,M,1911,1979,Q44597,wikidata_name_birthyear,1
10669,Derek Harold Richard Barton,M,1918,1998,Q102419,wikidata_name_birthyear,1
1459,Wilhelm Gerhard Burgers,M,1897,1988,Q2572803,wikidata_name_birthyear,1
13019,Manfred Eigen,M,1927,2019,Q76600,wikidata_name_birthyear,1
11084,Roger Williams,M,1893,1988,NA,unmatched,0
882,Andrew Benson,M,1917,2015,Q4756330,wikidata_name_birthyear,1
11096,Howard Cary,M,1908,1991,Q16012577,wikidata_name_birthyear,1
11097,Arnold Orville Beckman,M,1900,2004,Q695886,wikidata_name_birthyear,1
11099,Josef Engl,M,1893,1942,Q19286649,wikidata_name_birthyear,1
11100,Joseph Massolle,M,1889,1957,Q1707591,wikidata_name_birthyear,1
11101,Hans Vogt,M,1890,1979,Q1582885,wikidata_name_birthyear,1
3933,Odd Hassel,M,1897,1981,Q157212,wikidata_name_birthyear,1
11105,John Aston,M,1903,1990,NA,unmatched,0
11111,Alfred Hershey,M,1908,1997,Q271703,wikidata_name_birthyear,1
11112,Martha Chase,F,1927,2003,Q257008,wikidata_name_birthyear,1
