person_id,lastname,firstname,gender,birth_year,death_year,full_name
3398,Gerlach,Walter,M,1889,NA,Walter Gerlach
8779,Stern,Otto,M,1888,1969,Otto Stern
8515,Siegbahn,Manne Karl,M,1886,1978,Manne Karl Siegbahn
8833,Strauss,Siegmund,M,1875,NA,Siegmund Strauss
4956,Kohlhörster,Werner,M,1887,NA,Werner Kohlhörster
6283,Miller,Dayton,M,1866,NA,Dayton Miller
7550,Ramsauer,Carl,M,1879,NA,Carl Ramsauer
4708,Kaplan,Victor,M,1876,NA,Victor Kaplan
897,Bergeron,Tor,M,1891,1977,Tor Bergeron
1044,Bjerknes,Jacob,M,1897,1975,Jacob Bjerknes
8650,Solberg,Halvor,M,1895,1974,Halvor Solberg
8240,Schrödinger,Erwin,M,1887,1961,Erwin Schrödinger
4018,Heisenberg,Werner Karl,M,1901,1976,Werner Karl Heisenberg
7388,Prandtl,Ludwig,M,1875,NA,Ludwig Prandtl
489,Armstrong,Edwin,M,1890,NA,Edwin Armstrong
6094,Meissner,Alexander,M,1883,NA,Alexander Meissner
2170,Davisson,Clinton,M,1881,1958,Clinton Davisson
3400,Germer,Lester Halbert,M,1896,1971,Lester Halbert Germer
2447,Dirac,Paul Adrien Maurice,M,1902,1984,Paul Adrien Maurice Dirac
9978,Warburg,Emil,M,1846,NA,Emil Warburg
1522,Cabannes,Jean,M,1885,1959,Jean Cabannes
7540,Raman,Chandrasekhara,M,1888,1970,Chandrasekhara Raman
4165,Hilbert,David,M,1862,NA,David Hilbert
7482,Pupin,Michael,M,1858,NA,Michael Pupin
1186,Born,Max,M,1882,1970,Max Born
1255,Bowen,Ira,M,1898,NA,Ira Bowen
7981,Russell,Henry Norris,M,1877,1957,Henry Norris Russell
5203,Landsberg,Grigoriy,M,1890,NA,Grigoriy Landsberg
5856,Mandelshtam (Mandelstam),Leonid,M,1879,1944,Leonid Mandelshtam (Mandelstam)
8041,Saha,Meghnad,M,1893,1956,Meghnad Saha
1830,Claude,Georges,M,1870,NA,Georges Claude
9242,Thomson,George Paget,M,1892,1975,George Paget Thomson
4127,Hess,Victor,M,1883,1964,Victor Hess
2680,Eddington,Arthur,M,1882,1944,Arthur Eddington
4294,Honda,Kotaro,M,1870,NA,Kotaro Honda
7223,Piccard,Auguste,M,1884,NA,Auguste Piccard
7042,Pauli,Wolfgang,M,1900,1958,Wolfgang Pauli
9222,Thiry,René,M,1886,NA,René Thiry
427,Anderson,Carl,M,1905,1991,Carl Anderson
4615,Joliot-Curie,Irène,F,1897,1956,Irène Joliot-Curie
1697,Chadwick,James,M,1891,1974,James Chadwick
4613,Joliot,Frédéric,M,1900,1958,Frédéric Joliot
1209,Bothe,Walther,M,1891,1957,Walther Bothe
1331,Brickwedde,Ferdinand,M,1903,NA,Ferdinand Brickwedde
6524,Murphy,George,M,1903,NA,George Murphy
9461,Urey,Harold Clayton,M,1893,1981,Harold Clayton Urey
2767,Elmen,Gustaf,M,1876,NA,Gustaf Elmen
9579,Vegard,Lars,M,1880,NA,Lars Vegard
9503,Vallauri,Giancarlo,M,1882,NA,Giancarlo Vallauri
469,Appleton,Edward,M,1892,1965,Edward Appleton
4796,Kennelly,Arthur,M,NA,NA,Arthur Kennelly
2955,Fermi,Enrico,M,1901,1954,Enrico Fermi
2708,Ehrenhaft,Felix,M,1879,NA,Felix Ehrenhaft
2445,Dingler,Hugo,M,1881,NA,Hugo Dingler
3725,Gurwitsch [Gurvitsch],Alexander,M,1874,1954,Alexander Gurwitsch [Gurvitsch]
2833,Esau,Abraham,M,1884,NA,Abraham Esau
3375,Geiger,Hans,M,1882,1945,Hans Geiger
3575,Goudsmit,Samuel Abraham,M,1902,1978,Samuel Abraham Goudsmit
2230,de Haas,Wander,M,1878,NA,Wander de Haas
6060,McLennan,John,M,1867,NA,John McLennan
10446,Zwicky,Fritz,M,1898,NA,Fritz Zwicky
1057,Blackett (Baron Blackett),Patrick Maynard Stuart,M,1897,1974,Patrick Maynard Stuart Blackett (Baron Blackett)
6816,Occhialini,Giuseppe Paolo Stanislao,M,1907,1993,Giuseppe Paolo Stanislao Occhialini
1835,Clay,Jacob,M,1882,1955,Jacob Clay
1855,Cockcroft,John Douglas,M,1897,1967,John Douglas Cockcroft
9967,Walton,Ernest Thomas Sinton,M,1903,1995,Ernest Thomas Sinton Walton
5605,Loomis,Alfred,M,1887,NA,Alfred Loomis
3787,Hahn,Otto,M,1879,1968,Otto Hahn
6097,Meitner,Lise,F,1878,1968,Lise Meitner
4281,Holst,Gilles,M,1886,NA,Gilles Holst
9019,Ingram Taylor,Geoffrey,M,1886,1975,Geoffrey Ingram Taylor
9048,Tesla,Nikola,M,1856,NA,Nikola Tesla
5290,Lawrence,Ernest,M,1901,1958,Ernest Lawrence
7617,Regener,Erich,M,1881,NA,Erich Regener
7513,Rabi,Isidor,M,1898,1988,Isidor Rabi
8160,Scherrer,Paul,M,1890,1969,Paul Scherrer
4366,Hull,Albert,M,1880,NA,Albert Hull
4154,Heyrovský,Jaroslav,M,1890,1967,Jaroslav Heyrovský
10359,Yukawa,Hideki,M,1907,1981,Hideki Yukawa
1710,Chamberlain,Arthur Neville,M,1869,1940,Arthur Neville Chamberlain
1213,Bouasse,Henri,M,1866,NA,Henri Bouasse
3418,Giauque,William,M,1895,1982,William Giauque
4758,Keesom,Willem,M,1876,1956,Willem Keesom
561,Auger,Pierre,M,1899,1993,Pierre Auger
8826,Strassmann,Fritz,M,1902,NA,Fritz Strassmann
6623,Neddermeyer,Seth,M,1907,1988,Seth Neddermeyer
2235,de Hevesy,George,M,1885,1966,George de Hevesy
971,Bethe,Hans Albrecht,M,1906,2005,Hans Albrecht Bethe
4806,Kerst,Donald William,M,1911,1993,Donald William Kerst
6024,Mayolo,Santiago,M,1887,NA,Santiago Mayolo
3319,Gamow,George,M,1904,1968,George Gamow
10397,Zernike,Frits,M,1888,1966,Frits Zernike
2518,Dorgelo,Hendrik,M,1894,NA,Hendrik Dorgelo
9533,van Geel,Christiaan,M,1895,NA,Christiaan van Geel
7097,Penning,Frans,M,1894,NA,Frans Penning
5725,Lyot,Bernard,M,1897,1952,Bernard Lyot
3236,Frisch,Otto Robert,M,1904,1979,Otto Robert Frisch
2369,Dempster,Arthur,M,1886,NA,Arthur Dempster
4706,Kapitsa,Pyotr Leonidovich,M,1894,1984,Pyotr Leonidovich Kapitsa
