person_id,name
13123,Jack Steinberger
13274,Scott Ellsworth Forbush
13281,Philip Burton Moon
398,Edoardo Amaldi
10756,Leopold Infeld
13296,Freeman John Dyson
13304,Keith Edward Bullen
13306,H Schüler
13307,Th Schmidt
13326,Margaret Burbidge
13324,Geoffrey Ronald Burbidge
10700,William A Fowler
13325,Fred Hoyle
10868,S R de Groot
13839,Susumu Okubo
10765,John Archibald Wheeler
13854,Yuval Néeman
11017,Maurice Françon
10758,Jerzy Pniewski
13880,Robert Hanbury Brown
13881,Richard Q Twiss
13883,Martin Schwarzchild
4375,Friedrich Hund
4401,Erich Hückel
13276,J Volger
13887,Nicholas Constantine Christofilos
14181,Bertram Neville Brockhouse
10526,Horace Richard Crane
3289,Dennis Gabor
13350,Bernd Theodor Matthias
14224,M Schmidt
10784,Vladimir Aleksandrovich Fock
14232,Val Logsdon Fitch
14233,James Watson Cronin
14242,Jacques Friedel
14244,Alfred Brian Pippard
14245,David Shoenberg
14247,W B Fowler
14248,N P Samios
14253,J W Keuffel
14254,T E Cranshaw
14255,J F de Beer
14256,S Fukui
14257,S Miyamoto
14260,D Schneiderman
14261,Robert Benjamin Leighton
14262,K Sloan
14263,J D Allen
14264,B C Murray
14265,R P Sharp
14417,Vladimir V Beloussov
14423,Arnold 'Fritz' Bopp
15088,Stuart Thomas Butler
14426,Raimond Bernard René Castaing
10548,Harrie Stewart Wilson Massey
14474,James Stanley Hey
14476,Albert Rose
14477,Murray A Lampert
13272,Rudolf Ernst Peierls
14487,Bruno Pontecorvo
14488,Edward U Condon
14753,Rudolf Hilsch
14501,Robert Edward Bell
10761,Robert Henry Dicke
13836,Gaston Dupouy
14524,W E Gifford
14530,J E Kunzler
5921,Herman Francis Mark
14551,G J Schulz
8589,John Clark Slater
13976,Geoffrey Ingram Taylor
14250,Hiroomi Umezawa
14558,Konrad Zuse
14559,Gerhard Borrmann
14560,Paul Peter Ewald
10770,Ivar Waller
14579,D Orowan
14757,S N Vernov
15330,CERN
14724,Georgy Nikolayevich Flerov
15389,John Battiscombe Gunn
5510,Jens Lindhard
15373,Reginald Charles Rainey
15384,Nicola Cabibbo
15392,J G Dorfman
15394,P Jaquinot
13267,Eugene Newman Parker
14183,Peter Alden Franken
15406,R W Terhune
15407,J A Giordmaine
15409,E N Leith
15410,Juris Upatnieks
15412,Feza Gürsey
15413,Luigi Arialdo Radicati di Bròzolo
15417,K Kondo
15432,J Liljendahl
15418,L Løkka
15434,P Bastien
15454,Ryogo Kubo
14662,Edward Teller
15474,William Houlder Zachariasen
15486,Albert Ghiorso
15490,Antony Hewish
4889,Oskar Benjamin Klein
5064,Ralph de Laer Kronig
15492,Carl Nordling
15795,Kai Manne Börje Siegbahn
15494,Arno Allan Penzias
10229,R R Wilson
15499,Johannes (Jan) Martinus Burgers
15500,Janine Connes
15501,Pierre Connes
15504,Shoichi Sakata
13852,Charles Brian Anthony McCusker
15791,Albert Victor Crewe
14565,Yoichiro Nambu
15433,Max Steenbeck
15453,John C Wheatley
15475,Alexei Alexeyevich Abrikosov
15391,Arthur Strong Wightman
16000,Wernher von Braun
15062,Hermann Oberth
16020,Bernard Gregory
16021,Charles Peyrou
16031,Paul Buford Price
16032,Robert M Walker
16034,Robert R Wilson
11003,Viktor Amazaspovich Ambartsumian
15431,Bengt Strömgren
16040,Alexander A Tyapkin
16043,Maarten Schmidt
14198,Yakov Borisovich Zeldovich
16281,William (Bill) Cochran
16283,Willi Dansgaard
15614,Nikolay Markovich Emanuel
16285,H E Farnsworth
16294,Glenn M Frye
16299,Chushiro Hayashi
16316,Jun Kondo
7570,Franco Dino Rasetti
16335,Mohammad Abdus Salam
10931,Léon Charles Prudent van Hove
13978,Alan Walsh
15993,Gian Carlo Wick
16345,John Stewart Bell
16350,Vitaly Lazarevich Ginzburg
16356,Peter Berners Fellgett
10575,Pierre Jacquinot
11156,Per Olov Löwdin
6446,Philip McCord Morse
16377,Ernst Carl Gerlach Stueckelberg
14494,Geoffrey Foucar Chew
15386,Marvin Leonard Goldberger
13819,Stanley Mandelstam
10786,Lev Andreyevich Artsimovich
15338,James Daniel ´BJ´ Bjorken
16483,Edward Crisp Bullard
15440,Eleanor Margaret Burbidge
13284,Richard Henry Dalitz
16487,Raymond Davis Jr
16306,André Guinier
16494,Raymond George Herb
16496,Peter Bernhard Hirsch
11010,Willibald Jentschke
16511,Don Kirkham
13932,Otto Kratky
16517,Michael James Lighthill
14481,Walter Charles Marshall
16523,R G Peierls
16525,K Popper
13297,Tullio Regge
16529,Ronald Samuel Rivlin
9298,Samuel Tolansky
16545,Kenneth Geddes Wilson
16562,B R Rossi
16573,Pierre-Michel Duffieux
7949,Wojciech Rubinowicz
14561,Martin Moses Block
14466,Sven Gösta Nilsson
16592,H Friedman
11049,Norman Foster Ramsey
16600,John Shipley Rowlinson
16602,Harry Lehmann
16603,Kurt Symanzik
16604,Wolfhart Zimmermann
11108,Francis Harry Compton H Crick
11107,James Dewey Watson
11109,Maurice Hugh Frederick Wilkins
16610,Ugo Fano
16611,Phyllis S Freier
10749,Edward Purdy Ney
16612,Edward Joseph Lofgren
16613,Frank Friedman Oppenheimer
16614,Herbert Aaron Hauptman
15629,Jerome Karle
16616,Michael Mark Woolfson
16618,I L Karle
18130,S N Bose
18135,H P Broida
14563,Hans-Peter Dürr
18159,A. Hewish
18162,K Johnsen
18185,J Leite Lopes
14203,Heinz Maier-Leibnitz
18188,P Mitchell
18227,V P Sarantsev
18246,J. Weber
16543,Steven Weinberg
18250,K G Wilson
18252,R R Wilson
18255,C. S. Wu
18261,R A Alpher
18263,R C Herman
18264,D. R. Bates
16384,Marshall Nicholas Rosenbluth
15476,Walter Kohn
18295,J W Cronin
13289,Vernon Willard Hughes
18308,J P Eckert Jr.
18310,J N Mauchly
18311,M Françon
10849,André Maréchal
15464,P Glansdorff
18319,E L Hahn
18323,M J Whelan
18327,B. B. Kadomtsev
18332,C. C. Lin
18338,R W Wilson
18341,B Lovell
18342,M von Ardenne
18344,E W Mueller
18356,James Rainwater
18358,J. A. Wheeler
18360,E O Wollan
18367,L Wolfenstein
18380,P Jordan
18383,L P Kadanoff
13840,Robert Eugene Marshak
18395,E. C. G. Sudarshan
9563,Jacobus Henricus Van´t Hoff
949,Marcellin Berthelot
3022,Emil H Fischer
6352,Henri Moissan
7351,William J Pope
8579,Zdenko H Skraup
9713,Adolf J von Baeyer
3364,Armand Gautier
3420,Wolcott Gibbs
6439,Edward W Morley
7707,Theodore W Richards
4917,Rudolf Knietsch
10263,Johannes Wislicenus
6445,Harmon N Morse
6913,Wilhelm Ostwald
1428,Eduard Buchner
1802,Giacomo Ciamician
6171,Dmitri Mendeleev
3649,Victor Grignard
3812,Albin Haller
3172,Adolph Frank
1610,Heinrich Caro
2873,Samuel Eyde
1582,Stanislao Cannizzaro
4670,Sophus M Jörgensen
8017,Paul Sabatier
2061,Theodor Curtius
4876,Fredrik Kjellin
9953,Otto Wallach
10087,Alfred Werner
3878,Arthur R Hantzsch
4995,Albrecht Kossel
5703,Georg Lunge
10210,Richard M Willstätter
953,Gabriel Émile Bertrand
2799,Carl Engler
5199,Hans Landolt
9818,Edmund von Lippmann
8403,Jean B Senderens
8311,Otto W Schönherr
5467,Carl Liebermann
5950,Pierre E Martin
8706,Walthère Spring
446,Angelo Angeli
2713,Paul Ehrlich
3941,Sachachiro Hata
7121,William H Perkin Jr
8998,Gustav Tammann
694,Philippe Barbier
2213,Hilaire de Chardonnet
3758,Fritz Haber
9458,Georges Urbain
3904,Carl Harries
5112,William Küster
5896,Leon Marchlewski
7603,Albert Recoura
10412,Theodor Zincke
10428,Richard A Zsigmondy
8202,Ernst Schmidt
9383,Alexander Tschirch
9940,Paul Walden
282,Emil Abderhalden
4117,Eugen Herzfeld
7022,Emanuele Paterno
1198,Carl Bosch
1238,Emile Bourquelot
1825,Frank W Clarke
2684,Joseph M Eder
2711,Felix Ehrlich
961,Knut J Beskow
7543,Arthur Ramén
3737,Philippe-Auguste Guye
7233,Amé Pictet
7399,Fritz Pregl
3834,Hartog J Hamburger
8185,Wilhelm Schlenk
9389,Mikhail Tsvet
826,Martinus W Beijerinck
3182,Edward C Franklin
521,Ossian Aschan
3033,Otto Fischer
6783,Arthur Amos Noyes
6738,Emilio Noelting
3221,Herbert Max Finlay Freundlich
3531,Moses Gomberg
6477,Charles Moureu
10247,Sergei [Sergey] N Winogradsky [Winogradskiy Vinogradskiy Vinogradsky]
8972,Sören P Sörensen
559,Carl Auer von Welsbach
1611,Nikodem Caro
4269,Arnold F Holleman
5441,Gilbert N Lewis
7380,Frederick B Power
8513,Henry Siedentopf
1981,Dirk Coster
9751,Hans K von Euler-Chelpin
2785,Friedrich Emich
10166,Heinrich Otto Wieland
287,John J Abel
2320,André Debierne
3082,Fritz Foerster
3272,Casimir Funk
3457,Piero Ginori-Conti
6821,Giuseppe Oddo
7007,Paul V Pascal
10241,Adolf O Windaus
641,Herbert B Baker
1866,Ernst Cohen
1048,Niels Bjerrum
1316,Julius Bredt
6968,Friedrich (Fritz) Adolf Paneth
7155,Kurt Peters
3848,Olaf Hammarsten
4303,Frederick G Hopkins
3026,Hans Fischer
5495,Samuel C Lind
7783,Robert Robinson
8975,Bruno Tacke
707,George Barger
3895,Charles R Harington
872,Kurt Bennewitz
900,Friedrich Bergius
1106,Max Bodenstein
7958,Otto Ruff
1419,Johannes N Brönsted
2577,Charles Dufraisse
3887,Arthur Harden
4122,Alfred Hess
3520,Victor M Goldschmidt
3957,Walter Norman Haworth
9541,Johannes J van Laar
6657,Carl A Neuberg
8800,Alfred Stock
8926,Frédéric Swarts
9984,Otto H Warburg
2849,Arnold Eucken
8200,Carl F Schmidt
9710,Karl von Auwers
2508,Frederick George G Donnan
4487,James C Irvine
4881,Peter Klason
8746,Hermann Staudinger
5085,Werner Kuhn
7994,Leopold Ruzicka
8248,Werner Schulemann
6732,Walter Noddack
2432,Otto P Diels
2780,Gustav G Embden
4719,Paul Karrer
5084,Richard Kuhn
6731,Ida Noddack
8709,Ernst Späth
9668,Artturi I Virtanen
9905,Emil Votocek
1487,Adolf F Butenandt
5118,Fritz Kögl
4420,Erik Hägglund
5819,Louis C Maillard
9999,Edward W Washburn
911,Max Bergmann
2054,George O Curme
5423,Phoebus A Levene
3008,Colin G Fink
359,Kurt Alder
1144,William A Bone
4121,Jacob Heslinga
6219,Henri Meulen
4429,Otto Hönigschmid
6573,Jens Möller
8913,Umetaro Suzuki
8933,Wojciech Swiętosławski
1026,Arthur Binz
8003,Curt Räth
3914,Paul Karl Maria Harteck
3023,Franz Fischer
4254,Fritz Hofmann
4977,Gustaf Komppa
9207,Hugo A Theorell
9266,Marc Tiffeneau
1515,Jacob Böeseken
3898,William D Harkins
4054,Victor Henri
4482,Vladimir N Ipatieff
8731,Wendell M Stanley
8815,Arthur Stoll
1314,Georg Bredig
3143,Ernest F Fourneau
3461,Francesco Giordani
4597,Paul Job
7243,Maurice Piettre
10207,Robley Cook Williams
10323,Dorothy M Wrinch
2777,Conrad A Elvehjem
769,Frederick C Bawden
7273,Norman W Pirie
6764,John H Northrop
7045,Linus Carl Pauling
10050,Fritz Weigert
4461,Christopher Kelk Ingold
9338,Jacques Tréfouël
6696,Paul Niggli
9549,Donald D van Slyke
8227,Rudolf Schoenheimer
8895,James B Sumner
5093,Moses Kunitz
10330,René Wurmser
4791,Ernest Lawrence Kennaway
1933,James Wilfred Cook
7631,Tadeus Reichstein
5523,Karl Paul Link
2555,Vincent du Vigneaud
8754,Harry Steenbock
2875,Henry Eyring
2462,Edward C Dodds
10109,Arne Westgren
3254,Alexander Naumovich Frumkin
5042,Hans Adolf Krebs
9021,Hugh S Taylor
8398,Nikolay Nikolayevich Semyonov
8323,Glenn Theodore Seaborg
10302,Robert Burns B Woodward
2466,William von Eggers Doering
2408,Henri Devaux
9282,Arne W Tiselius
3376,S A Geigy
5729,Paul Läuger
4194,Cyril Norman Hinshelwood
305,Roger Adams
3986,Johan Arvid Hedvall
5319,Paul M Lebeau
6085,Hans Lebrecht Meerwein
10086,Chester H Werkman
290,Philip H Abelson
4823,Morris S Kharasch
7754,David Rittenberg
6318,Alfred E Mirsky
7511,Paul Rabe
4527,Pierre Jacquet
2427,Gerhard Dickel
4794,Joseph W Kennedy
1872,Edwin J Cohn
3096,Karl A Folkers
3469,Domingo Giribaldo
3995,Michael J Heidelberger
4016,George W Heise
7663,Walter Reppe
7866,William C Rose
9289,Alexander Robertus Todd
2632,George M Dyson
7722,Friedrich Richter
4789,Edward C Kendall
6270,Karl Miescher
10299,Harland G Wood
4913,A J Kluyver
10521,Ralph Walter G Wyckoff
4768,David Keilin
782,George Wells Beadle
1550,Melvin Calvin
5455,Choh Hao Li
1930,Edward Joseph Conway
3072,Paul John Flory
5504,Kaj Ulrik Linderstrøm-Lang
5529,Fritz Albert Lipmann
8188,Hermann Irving Schlesinger
9933,Selman A Waksman
6504,Robert Sanderson Mulliken
5945,Archer John Porter Martin
8946,Richard L M Synge
1925,Raphael Consden
3554,Arthur H Gordon
9339,Thérèse Tréfouël
1495,Gladwyn A Buttle
9928,Arthur C Wahl
3826,John W Hamaker
8488,Glenn E Sheline
2049,Burris Bell Cunningham
10090,Louis B Werner
5263,Wendell M Latimer
7123,Isadore Perlman
4860,Paul L Kirk
518,Yasuhiko Asahina
4006,Ian Morris Heilbron
5505,Axel E Lindh
7160,Rudolph A Peters
10487,Alexander E Braunstein
2016,Lyman C Craig
10492,Claude S Hudson
6550,Erich Müller
7110,Marguerite Perey
8092,Frederick Sanger
4159,Walter Hieber
4976,Izaak M Kolthoff
13462,Öjvind Winge
10610,Karl W Ziegler
9015,Edward Lawrie Tatum
10646,Fritz Feigl
2990,Louis F Fieser
10651,Giulio Natta
10654,George Porter
10660,Félix Trombe
10665,Max Volmer
10671,Martin David Kamen
3212,Karl Johann Freudenberg
6817,Severo Ochoa
10739,Alexander E Arbuzov
10740,Boris A Arbuzov
10742,Heinz L Fraenckel-Conrat
10743,Ernest F Gale
10744,Joan P Folkes
10745,Friedrich Emil Brauns
11118,Jannik Bjerrum
10800,Paul Charpentier
1974,Charles D Coryell
10802,Maurice-Marie M Janot
10818,Alexandre Vladimiravitche Palladine
7725,Eric Keightley Rideal
10826,G L Stadnikov
574,Oswald Theodore Avery
10839,Colin Munro MacLeod
10840,Maclyn McCarty
10841,Bernard L Horecker
10878,Jean Brachet
11155,Gerhard Herzberg
4702,Bogdan Kamienski
10889,Luis Federico Leloir
10807,Max Mousseron
7400,Vladimir Prelog
10904,Gerold Karl Schwarzenbach
10907,Yoshiyuki Toyama
10657,Georg Wittig
10979,Arthur Kornberg
10983,William G Pfann
10985,Francis Owen Rice
10656,Gunter Scheibe
13217,Charles Wagner
10992,Frederick D Rossini
10993,M J Chedin
10732,Egon Wiberg
4271,Bror Holmberg
11000,David E Green
5722,Feodor Lynen
10669,Derek Harold Richard Barton
1459,Wilhelm Gerhard Burgers
13019,Manfred Eigen
11084,Roger J Williams
882,Andrew A Benson
11096,Howard Cary
11097,Arnold Orville Beckman
11099,Josef Engl
11100,Joseph Massolle
11101,Hans Vogt
3933,Odd Hassel
11105,John G Aston
11111,Alfred D Hershey
11112,Martha C Chase
11114,Alfred Gierer
11115,Gerhard Schramm
1007,Johannes Martin Bijvoet
1647,Torbjörn O Caspersson
11122,Britton Chance
11125,Harry George Drickamer
11140,Leslie Eleazer Orgel
11141,Pierre Van Rysselberghe
8538,Lars Gunnar Sillén
13889,Daniel Israel Arnon
11154,Konrad Emil Bloch
11157,Ronald George Wreyford Norrish
1951,Robert B Corey
11161,Efraim Racker
1746,Georges Léon Chaudron
13016,Carl Djerassi
13074,Ernst Otto Fischer
3851,Louis Plack Hammett
6339,San-Ichiro Mizushima
13083,Peter L Pauson
10553,Maurice Stacey
10820,Tadeusz Urbański
10825,Alexander P Vinogradov
